DATE,REG,FLTS,YEAR,ROLL_MED_7
2023-12-05,BRA,5306,2023,5306
2023-12-06,BRA,5498,2023,5306
2023-12-07,BRA,5631,2023,5306
2023-12-08,BRA,5849,2023,5306
2023-12-09,BRA,4616,2023,5498
2023-12-10,BRA,4490,2023,5631
2023-12-11,BRA,5203,2023,5786
2023-12-12,BRA,5786,2023,5786
2023-12-13,BRA,5886,2023,5786
2023-12-14,BRA,6069,2023,5786
2023-12-15,BRA,6233,2023,5786
2023-12-16,BRA,5149,2023,5619
2023-12-17,BRA,4705,2023,5619
2023-12-18,BRA,5398,2023,5619
2023-12-19,BRA,5619,2023,5619
2023-12-20,BRA,5649,2023,5619
2023-12-21,BRA,5675,2023,5619
2023-12-22,BRA,5681,2023,5619
2023-12-23,BRA,4383,2023,5374
2023-12-24,BRA,3088,2023,5374
2023-12-25,BRA,3059,2023,5374
2023-12-26,BRA,5374,2023,5005
2023-12-27,BRA,5731,2023,5005
2023-12-28,BRA,5584,2023,5005
2023-12-29,BRA,5005,2023,5005
2023-12-30,BRA,4039,2023,4979
2023-12-31,BRA,3049,2023,4979
2024-01-01,BRA,3078,2024,4872
2024-01-02,BRA,4979,2024,4872
2024-01-03,BRA,5045,2024,4872
2024-01-04,BRA,4872,2024,4872
2024-01-05,BRA,4990,2024,4967
2024-01-06,BRA,4583,2024,4872
2024-01-07,BRA,4592,2024,4872
2024-01-08,BRA,4967,2024,4967
2024-01-09,BRA,4838,2024,4967
2024-01-10,BRA,5233,2024,4967
2024-01-11,BRA,4981,2024,4967
2024-01-12,BRA,5050,2024,4981
2024-01-13,BRA,4358,2024,4982
2024-01-14,BRA,4515,2024,4981
2024-01-15,BRA,4982,2024,4982
2024-01-16,BRA,5250,2024,4982
2024-01-17,BRA,4976,2024,4982
2024-01-18,BRA,5271,2024,4982
2024-01-19,BRA,5403,2024,4976
2024-01-20,BRA,4329,2024,4836
2024-01-21,BRA,4193,2024,4836
2024-01-22,BRA,4836,2024,4836
2024-01-23,BRA,4545,2024,4836
2024-01-24,BRA,4911,2024,4836
2024-01-25,BRA,5067,2024,4836
2024-01-26,BRA,4924,2024,4911
2024-01-27,BRA,4533,2024,4924
2024-01-28,BRA,4257,2024,5067
2024-01-29,BRA,5159,2024,5159
2024-01-30,BRA,5395,2024,5159
2024-01-31,BRA,5211,2024,5159
2024-02-01,BRA,5508,2024,5159
2024-02-02,BRA,5109,2024,5109
2024-02-03,BRA,4727,2024,5109
2024-02-04,BRA,4421,2024,5109
2024-02-05,BRA,5079,2024,5109
2024-02-06,BRA,5224,2024,5224
2024-02-07,BRA,5327,2024,5224
2024-02-08,BRA,5612,2024,5224
2024-02-09,BRA,6444,2024,5224
2024-02-10,BRA,5025,2024,5025
2024-02-11,BRA,3490,2024,5025
2024-02-12,BRA,3667,2024,4567
2024-02-13,BRA,4092,2024,4567
2024-02-14,BRA,5183,2024,4567
2024-02-15,BRA,4567,2024,4567
2024-02-16,BRA,5060,2024,4670
2024-02-17,BRA,4670,2024,4735
2024-02-18,BRA,4367,2024,4735
2024-02-19,BRA,4986,2024,4986
2024-02-20,BRA,4735,2024,4986
2024-02-21,BRA,5033,2024,4986
2024-02-22,BRA,5306,2024,4986
2024-02-23,BRA,5571,2024,5032
2024-02-24,BRA,4450,2024,5033
2024-02-25,BRA,4173,2024,5032
2024-02-26,BRA,5032,2024,5032
2024-02-27,BRA,5091,2024,5032
2024-02-28,BRA,4880,2024,5032
2024-02-29,BRA,5230,2024,5032
2024-03-01,BRA,5799,2024,5087
2024-03-02,BRA,4621,2024,5064
2024-03-03,BRA,4475,2024,5087
2024-03-04,BRA,5087,2024,5087
2024-03-05,BRA,5064,2024,5087
2024-03-06,BRA,5396,2024,5087
2024-03-07,BRA,5348,2024,5087
2024-03-08,BRA,5310,2024,5265
2024-03-09,BRA,4347,2024,5271
2024-03-10,BRA,4231,2024,5271
2024-03-11,BRA,5265,2024,5271
2024-03-12,BRA,5271,2024,5271
2024-03-13,BRA,5300,2024,5271
2024-03-14,BRA,6014,2024,5271
2024-03-15,BRA,5921,2024,5271
2024-03-16,BRA,4718,2024,5259
2024-03-17,BRA,4320,2024,5259
2024-03-18,BRA,5222,2024,5259
2024-03-19,BRA,5259,2024,5259
2024-03-20,BRA,5564,2024,5259
2024-03-21,BRA,5551,2024,5259
2024-03-22,BRA,5466,2024,5354
2024-03-23,BRA,4264,2024,5354
2024-03-24,BRA,3828,2024,5354
2024-03-25,BRA,5354,2024,5354
2024-03-26,BRA,5280,2024,5280
2024-03-27,BRA,5606,2024,5280
2024-03-28,BRA,5667,2024,5280
2024-03-29,BRA,4427,2024,5280
2024-03-30,BRA,3683,2024,5571
2024-03-31,BRA,5015,2024,5571
2024-04-01,BRA,5774,2024,5571
2024-04-02,BRA,5571,2024,5774
2024-04-03,BRA,6008,2024,5774
2024-04-04,BRA,5939,2024,5774
2024-04-05,BRA,5906,2024,5571
2024-04-06,BRA,4960,2024,5595
2024-04-07,BRA,4483,2024,5595
2024-04-08,BRA,5252,2024,5595
2024-04-09,BRA,5595,2024,5595
2024-04-10,BRA,5795,2024,5595
2024-04-11,BRA,5684,2024,5595
2024-04-12,BRA,5789,2024,5595
2024-04-13,BRA,4573,2024,5211
2024-04-14,BRA,4368,2024,5211
2024-04-15,BRA,5210,2024,5211
2024-04-16,BRA,5211,2024,5211
2024-04-17,BRA,5580,2024,5211
2024-04-18,BRA,5848,2024,5211
2024-04-19,BRA,6190,2024,5357
2024-04-20,BRA,4929,2024,5486
2024-04-21,BRA,4769,2024,5486
2024-04-22,BRA,5357,2024,5486
2024-04-23,BRA,5486,2024,5486
2024-04-24,BRA,5490,2024,5486
2024-04-25,BRA,5692,2024,5486
2024-04-26,BRA,6081,2024,5486
2024-04-27,BRA,4840,2024,5344
2024-04-28,BRA,4557,2024,5290
2024-04-29,BRA,5290,2024,5290
2024-04-30,BRA,5344,2024,5290
2024-05-01,BRA,5122,2024,5290
2024-05-02,BRA,5328,2024,5290
2024-05-03,BRA,5711,2024,5328
2024-05-04,BRA,4557,2024,5328
2024-05-05,BRA,4728,2024,5380
2024-05-06,BRA,5380,2024,5553
2024-05-07,BRA,5553,2024,5553
2024-05-08,BRA,5554,2024,5553
2024-05-09,BRA,5749,2024,5553
2024-05-10,BRA,5874,2024,5553
