APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-16]","(-16,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2019-03-21,ARR,59999,5137,0,0,0,0,0,0,5,12,14,15,37,31,21,17,16,8,4,3,1,1,0,1,3,1,1,3
SBBR,2019-03-21,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,11,32,55,41,24,10,7,3,1,1,2,1,0,1,0,7
SBBR,2019-03-22,ARR,59999,5137,0,0,0,0,0,0,0,4,11,14,35,28,22,18,16,5,9,4,7,1,2,2,0,2,2,6
SBBR,2019-03-22,DEP,60102,5147,0,0,0,0,0,0,0,0,0,1,5,32,48,31,13,13,7,8,7,4,6,1,2,2,0,8
SBBR,2019-03-23,ARR,59999,5137,0,0,0,0,0,0,2,9,13,28,36,18,9,7,5,8,1,2,0,0,2,0,1,0,0,3
SBBR,2019-03-23,DEP,60102,5147,0,0,0,0,0,0,0,0,0,1,8,37,33,21,15,4,7,1,1,3,2,1,2,0,1,6
SBBR,2019-03-24,ARR,59999,5137,0,0,0,0,0,0,4,10,16,24,23,18,7,5,4,3,2,1,0,1,1,0,0,0,2,3
SBBR,2019-03-24,DEP,60102,5147,0,0,0,0,0,0,0,0,0,1,12,29,41,19,9,8,5,0,0,0,0,1,0,1,0,2
SBBR,2019-03-25,ARR,59999,5137,0,0,0,0,0,2,1,12,20,17,43,38,18,15,7,5,4,1,1,2,0,3,1,0,0,1
SBBR,2019-03-25,DEP,60102,5147,0,0,0,0,0,0,0,0,0,1,20,69,46,21,12,4,6,2,1,1,3,0,2,0,2,1
